"id"	"pz2206021424"
"file_path"	"data_raw\glo\pres\pol\wri\pz2206021424"
"local_path"	"M:\marin\swoc\work\wiosym"
"download_date"	"2022-06-02"
"user"	"pz"
"provider_list"	"wri"
"provider_manual"	""
"source"	"https://datasets.wri.org/dataset/globalpowerplantdatabase"
"citation"	"Global Energy Observatory, Google, KTH Royal Institute of Technology in Stockholm, Enipedia, World Resources Institute. Global Power Plant Database [dataset]. 2018 [accessed 2022 Jun 2]. Published on Resource Watch and Google Earth Engine. Available from: http://resourcewatch.org/; https://earthengine.google.com/"
"copyright"	"Open - product and raw data can be downloaded"
"copyright_details"	""
"location"	"glo"
"theme"	"Pressures (e.g. noise)"
"theme_tag"	"pres"
"subtheme"	"POLLUTION"
"subtheme_tag"	"pol"
"tags"	";pres;pollution;"
"comments"	"power plant"
